N_sample	N_ANI	Min	Max
482	31865.42	26742	37695
483	31908.38	26764	37711
484	31942.2	26770	37806
485	31997.82	26793	37863
486	32078.28	26798	37863
487	32127.3	26809	37901
488	32176.5	26816	37904
489	32256.52	26854	37904
490	32286.3	26854	37910
491	32315.08	27016	37915
492	32375.94	27017	37940
493	32418.42	27021	37943
494	32459.96	27359	37952
495	32531.24	27407	38190
496	32559.18	27408	38192
497	32595.88	27637	38227
498	32640.42	27930	38271
499	32687.86	27930	38271
500	32746.88	27933	38272
501	32790.26	27937	38278
502	32827.96	27958	38290
503	32884.94	27959	38330
504	32919.7	27959	38345
505	32967.82	27961	38349
506	33024.22	27962	38358
507	33078.46	27973	38387
508	33106.44	27993	38391
509	33194.66	28004	38395
510	33236.26	28020	38397
511	33264.14	28037	38472
512	33306.62	28047	38477
513	33388.66	28047	38566
514	33453.58	28048	39270
515	33515.7	28267	39273
516	33554.34	28271	39279
517	33601.02	28320	39279
518	33647.24	28320	39290
519	33690.18	28321	39316
520	33721.28	28343	39331
521	33755.36	28343	39334
522	33824.9	28357	39346
523	33879.44	28357	39349
524	33927.68	28363	39376
525	33961.42	28368	39377
526	34009.8	28369	39390
527	34032.66	28525	39409
528	34057.18	28537	39409
529	34102.86	28544	39552
530	34132.72	28578	39705
531	34154.12	28586	39723
532	34178.98	28588	39739
533	34207.54	28591	39748
534	34258.58	28614	39856
535	34306.14	28640	39857
536	34347.24	28645	40021
537	34399.42	28646	40025
538	34454.06	28672	40084
539	34486.6	28672	40225
540	34548.2	28687	40225
541	34588.74	28801	40240
542	34662.36	28807	40248
543	34705.16	28811	40248
544	34797.8	28982	40258
545	34855.04	28986	40291
546	34924.26	28992	40313
547	34997.24	28993	40361
548	35045.58	29022	40361
549	35083.84	29046	40392
550	35151.02	29046	40413
551	35244.48	29057	40573
552	35281.2	29082	40574
553	35305.94	29172	40581
554	35342.16	29183	40582
555	35376.3	29183	40592
556	35429.5	29489	40599
557	35458.98	29660	40633
558	35519.6	29672	40656
559	35549.4	29675	40657
560	35601.42	29944	40658
561	35633.82	29955	40660
562	35729.28	29981	40660
563	35780.44	30061	40661
564	35834.86	30065	40662
565	35882.12	30187	40664
566	35925.5	30191	40668
567	35977.08	30238	40668
568	36025	30239	40673
569	36084.86	30242	40674
570	36125.02	30244	40684
571	36164.1	30244	40688
572	36209.82	30295	40705
573	36282.24	30296	40705
574	36313.3	30382	40746
575	36346.9	30394	40792
576	36395.16	30396	40961
577	36485.08	30637	40964
578	36522.3	31088	40977
579	36590.38	31090	40982
580	36626.68	31093	40982
581	36661.72	31104	40992
582	36720.44	31117	41084
583	36760.18	31138	41094
584	36812.32	31292	41101
585	36833.4	31293	41354
586	36882.34	31295	41354
587	36955.28	31297	41364
588	36996.36	31312	41370
589	37025.76	31331	41370
590	37079.96	31352	41420
591	37108.96	31353	41423
592	37151.62	31390	41433
593	37179.74	31448	41512
594	37211.26	31452	41541
595	37291.5	31477	41548
596	37360.92	31478	41557
597	37411.06	31496	41576
598	37439.82	31499	41576
599	37478.5	31500	41577
600	37535.06	31823	41603
601	37583.08	31877	41842
602	37617.26	31898	41900
603	37642.52	32004	41915
604	37701.38	32020	41936
605	37735.52	32236	41936
606	37782.18	32237	41962
607	37813.22	32312	41980
608	37840.98	32399	41983
609	37885.28	32667	41988
610	37944.78	32753	42017
611	37995.84	32753	42020
612	38050.52	32754	42358
613	38081	32771	42358
614	38135.44	32774	42360
615	38223.88	32776	42402
616	38268.74	32824	42402
617	38318.68	32826	42403
618	38352.82	33032	42403
619	38428.84	33156	42567
620	38448.02	33156	42568
621	38478.58	33256	42584
622	38507.56	33283	42615
623	38544.46	33287	42628
624	38595.52	33288	42631
625	38620.84	33296	42632
626	38673.58	33301	42643
627	38719.94	33385	42644
628	38756.24	33398	42650
629	38819.2	33413	42672
630	38848.1	33413	42913
631	38925.68	33504	42918
632	38952.42	33510	42925
633	38999.1	33519	42933
634	39035.88	33528	43016
635	39061.98	33571	43020
636	39117.22	33571	43044
637	39154.98	33573	43045
638	39218.2	33590	43046
639	39255.78	33595	43047
640	39303.4	33596	43050
641	39340.76	33851	43051
642	39403.66	33856	43066
643	39445.08	33884	43078
